# arch	model	K	arm	fingerprint	cycle_seconds	variant_slug	note
# grid A: arch x model, at env.sh's K and the reference arm
eyeriss_like_wglb	resnet18	30	recon3	bbe48c913f7a	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw4-filter_glb__mcons__wrelax__arm-recon3	
eyeriss_like_wglb	resnet18	30	recon4	aff2d72ba6e6	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw4-filter_glb__mcons__wrelax__ert-recon4-weights_spad-write	
eyeriss_like_wglb	resnet18	30	recon5	992e97677b91	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw4-filter_glb+weights_spad__mcons__wrelax__ert-recon5-weights_spad-read	
eyeriss_like_wglb	resnet18	36	reference	d1444604cd01	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__mcons__wrelax	
eyeriss_like_wglb	resnet18	36	recon1	57e3f25768e1	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__mcons__wrelax__arm-recon1	
eyeriss_like_wglb	resnet18	36	recon2	80678bff6449	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw5-filter_glb__mcons__wrelax__ert-recon2-filter_glb-read	
eyeriss_like_wglb	resnet18	36	recon3	356f0c921e84	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw5-filter_glb__mcons__wrelax__arm-recon3	
eyeriss_like_wglb	resnet18	36	recon4	cdbfd968145e	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw5-filter_glb__mcons__wrelax__ert-recon4-weights_spad-write	
eyeriss_like_wglb	resnet18	36	recon5	b9e1feb2511c	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw5-filter_glb+weights_spad__mcons__wrelax__ert-recon5-weights_spad-read	
eyeriss_like_wglb	resnet18	39	reference	d1444604cd01	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__mcons__wrelax	
eyeriss_like_wglb	resnet18	39	recon1	facfb645aee9	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__mcons__wrelax__arm-recon1	
eyeriss_like_wglb	resnet18	39	recon2	bd695d694a77	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw5-filter_glb__mcons__wrelax__ert-recon2-filter_glb-read	
eyeriss_like_wglb	resnet18	39	recon3	a6eb179ee8e5	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw5-filter_glb__mcons__wrelax__arm-recon3	
eyeriss_like_wglb	resnet18	39	recon4	5738902f4172	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw5-filter_glb__mcons__wrelax__ert-recon4-weights_spad-write	
